"timestamp","ap_compressor","atmospherictemperature","dischargepressure","dischargetemperature","suctionpressure","suctiontemperature","totalfuel","totalhorsepower","id"
2025-10-18 09:00:00.000,GLASGOW,,1323.66064453,,1321.60986328,,,29000.0,9999923
2025-10-18 09:00:00.000,ELDRIDGE,,886.46362305,,704.76062012,,,15000.0,9999737
2025-10-18 09:00:00.000,ARNEGARD,,1294.12036133,,1297.56884766,,,18000.0,9999551
2025-10-18 09:00:00.000,ESTELLINE,,1271.87902832,,972.2890625,,,38000.0,9999799
2025-10-18 09:00:00.000,MANNING,,1345.70617676,,1071.08435059,,,38000.0,10000233
2025-10-18 09:00:00.000,WETONKA,,1302.64038086,,1002.71716309,,,38000.0,10000481
2025-10-18 09:00:00.000,LONE TREE,,789.34509277,,789.76342773,,,16000.0,10000171
2025-10-18 09:00:00.000,LA MOILLE,,994.74127197,,815.05651855,,,13000.0,10000109
2025-10-18 08:00:00.000,ST ANTHONY,,1342.80944824,,1042.19421387,,,38000.0,10000296
2025-10-18 08:00:00.000,WOLF POINT,,1318.3104248,,1319.7668457,,,18000.0,10000544
2025-10-18 08:00:00.000,ZEELAND,,1318.53369141,,1018.6105957,,,38000.0,10000606
2025-10-18 08:00:00.000,GLASGOW,,1324.17333984,,1322.27636719,,,29000.0,9999924
2025-10-18 08:00:00.000,LA MOILLE,,990.96069336,,810.91552734,,,13000.0,10000110
2025-10-18 08:00:00.000,GRUNDY CENTER,,915.159729,,914.81530762,,,13000.0,10000048
2025-10-18 08:00:00.000,ELDRIDGE,,884.00805664,,702.59002686,,,15000.0,9999738
2025-10-18 08:00:00.000,LONE TREE,,789.31555176,,789.78222656,,,16000.0,10000172
2025-10-18 08:00:00.000,ESTELLINE,,1272.21228027,,971.95581055,,,38000.0,9999800
2025-10-18 08:00:00.000,WETONKA,,1303.15307617,,1002.89660645,,,38000.0,10000482
2025-10-18 08:00:00.000,MANNING,,1347.2442627,,1071.5970459,,,38000.0,10000234
2025-10-18 08:00:00.000,TRIMONT,,1285.90100098,,1001.02539063,,,38000.0,10000358
2025-10-18 08:00:00.000,ARNEGARD,,1296.00231934,,1299.70849609,,,18000.0,9999552
2025-10-18 08:00:00.000,CLARK,,1280.63012695,,982.16607666,,,38000.0,9999614
2025-10-18 08:00:00.000,CULBERTSON,,1324.68603516,,1324.17333984,,,38000.0,9999676
2025-10-18 08:00:00.000,GARVIN,,1277.1854248,,977.26220703,,,38000.0,9999862
2025-10-18 08:00:00.000,GLEN ULLIN,,1343.47595215,,1042.88635254,,,38000.0,9999986
2025-10-18 08:00:00.000,VENTURA REG,,976.57995605,,978.67828369,,,0.0,10000420
