"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus"
LoneTree_Unit01,2025-10-18 08:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 08:00:00.000,"12",27996.20898438,R
Eldridge_Unit01,2025-10-18 08:00:00.000,"16",-6.86033869,R
Estelline_Unit01,2025-10-18 08:00:00.000,"11",28748.57421875,R
LoneTree_Unit01,2025-10-18 07:00:00.000,"15",,A
Wetonka_Unit01,2025-10-18 07:00:00.000,"9",30896.703125,R
StAnthony_Unit01,2025-10-18 07:00:00.000,"7",12.81701756,R
Culbertson_Unit01,2025-10-18 07:00:00.000,"3",0.0,A
Manning_Unit01,2025-10-18 07:00:00.000,"5",23143.046875,R
Arnegard_Unit01,2025-10-18 07:00:00.000,"4",0.0,A
Zeeland_Unit01,2025-10-18 07:00:00.000,"8",12.81701756,R
WolfPoint_Unit01,2025-10-18 07:00:00.000,"2",0.74141049,A
Glasgow_Unit01,2025-10-18 07:00:00.000,"1",1.0,U
GrundyCenter_Unit01,2025-10-18 07:00:00.000,"14",-5.65407276,A
Clark_Unit01,2025-10-18 07:00:00.000,"10",29329.06835938,R
Eldridge_Unit01,2025-10-18 07:00:00.000,"16",-7.49509144,R
Garvin_Unit01,2025-10-18 07:00:00.000,"12",27978.90820313,R
Trimont_Unit01,2025-10-18 07:00:00.000,"13",94.20507813,R
Estelline_Unit01,2025-10-18 07:00:00.000,"11",26527.86523438,R
Desplains_Unit01,2025-10-18 07:00:00.000,"18",22938.55078125,U
LaMoille_Unit01,2025-10-18 07:00:00.000,"17",2137.21630859,R
GlenUllin_Unit01,2025-10-18 07:00:00.000,"6",0.0,R
Clark_Unit01,2025-10-18 06:00:00.000,"10",29246.1328125,R
Zeeland_Unit01,2025-10-18 06:00:00.000,"8",12.81701756,R
Manning_Unit01,2025-10-18 06:00:00.000,"5",23220.58789063,R
GrundyCenter_Unit01,2025-10-18 06:00:00.000,"14",-5.70410395,A
Desplains_Unit01,2025-10-18 06:00:00.000,"18",42597.75,U
Arnegard_Unit01,2025-10-18 06:00:00.000,"4",0.0,A
StAnthony_Unit01,2025-10-18 06:00:00.000,"7",12.81701756,R
LoneTree_Unit01,2025-10-18 06:00:00.000,"15",,A
GlenUllin_Unit01,2025-10-18 06:00:00.000,"6",0.0,R
Trimont_Unit01,2025-10-18 06:00:00.000,"13",89.71911621,R
Garvin_Unit01,2025-10-18 06:00:00.000,"12",27941.73828125,R
Wetonka_Unit01,2025-10-18 06:00:00.000,"9",30915.28515625,R
Eldridge_Unit01,2025-10-18 06:00:00.000,"16",-7.17355108,R
Glasgow_Unit01,2025-10-18 06:00:00.000,"1",1.0,U
WolfPoint_Unit01,2025-10-18 06:00:00.000,"2",0.74141049,A
Culbertson_Unit01,2025-10-18 06:00:00.000,"3",0.0,A
LaMoille_Unit01,2025-10-18 06:00:00.000,"17",2107.27685547,R
Estelline_Unit01,2025-10-18 06:00:00.000,"11",28707.984375,R
Culbertson_Unit01,2025-10-18 05:00:00.000,"3",0.0,A
GlenUllin_Unit01,2025-10-18 05:00:00.000,"6",0.0,R
Trimont_Unit01,2025-10-18 05:00:00.000,"13",98.05018616,R
Garvin_Unit01,2025-10-18 05:00:00.000,"12",27971.21679688,R
Zeeland_Unit01,2025-10-18 05:00:00.000,"8",12.81701756,R
Eldridge_Unit01,2025-10-18 05:00:00.000,"16",-7.31789064,R
GrundyCenter_Unit01,2025-10-18 05:00:00.000,"14",-5.67068815,A
Wetonka_Unit01,2025-10-18 05:00:00.000,"9",30944.125,R
LaMoille_Unit01,2025-10-18 05:00:00.000,"17",2065.00830078,R
Glasgow_Unit01,2025-10-18 05:00:00.000,"1",1.0,U
Manning_Unit01,2025-10-18 05:00:00.000,"5",23112.92773438,R
Clark_Unit01,2025-10-18 05:00:00.000,"10",29271.0859375,R
Arnegard_Unit01,2025-10-18 05:00:00.000,"4",0.0,A
StAnthony_Unit01,2025-10-18 05:00:00.000,"7",8.33106136,R
Estelline_Unit01,2025-10-18 05:00:00.000,"11",28684.484375,R
LoneTree_Unit01,2025-10-18 05:00:00.000,"15",,A
WolfPoint_Unit01,2025-10-18 05:00:00.000,"2",0.74141049,A
Desplains_Unit01,2025-10-18 05:00:00.000,"18",65535.0,U
Desplains_Unit01,2025-10-18 04:00:00.000,"18",22937.25,U
WolfPoint_Unit01,2025-10-18 04:00:00.000,"2",1.27122414,A
Arnegard_Unit01,2025-10-18 04:00:00.000,"4",0.0,A
GlenUllin_Unit01,2025-10-18 04:00:00.000,"6",0.0,R
Glasgow_Unit01,2025-10-18 04:00:00.000,"1",1.0,U
