"timestamp","ap_meter","btu","flow_rate_mmcfd","pressure","id","current_daytotal_mmcf","minop"
2025-10-17 22:00:00.000,220960,1084.6556396484,868.2189941406,989.9079589844,2777215,,800
2025-10-17 22:00:00.000,230240,1031.8598632813,393.7319335938,1325.3747558594,2777277,,1200
2025-10-17 22:00:00.000,220530,1084.7060546875,234.9990539551,894.4808959961,2777153,,800
2025-10-17 21:00:00.000,220960,1084.7321777344,872.1459350586,994.4627075195,2777216,,800
2025-10-17 21:00:00.000,230240,1031.3327636719,388.0028076172,1323.0103759766,2777278,,1200
2025-10-17 21:00:00.000,220530,1087.6813964844,235.6663665771,894.5768432617,2777154,,800
2025-10-17 21:00:00.000,230500,1058.9505615234,703.4000854492,1290.9052734375,2777340,,1060
2025-10-17 21:00:00.000,220030,1085.9318847656,175.0534057617,862.8653564453,2777092,,712
2025-10-17 20:00:00.000,220030,1085.7829589844,175.2316741943,866.7944946289,2777093,,712
2025-10-17 20:00:00.000,220530,1086.1154785156,234.4297180176,894.3848876953,2777155,,800
2025-10-17 20:00:00.000,230240,1031.6701660156,400.2157897949,1320.0834960938,2777279,,1200
2025-10-17 20:00:00.000,230500,1058.7823486328,702.1450805664,1289.8614501953,2777341,,1060
2025-10-17 20:00:00.000,220960,1085.7430419922,869.5507202148,999.5093994141,2777217,,800
2025-10-17 19:00:00.000,220030,1085.4536132813,174.187713623,871.0110473633,2777094,,712
2025-10-17 19:00:00.000,220530,1086.1635742188,236.7529144287,893.9049682617,2777156,,800
2025-10-17 19:00:00.000,220960,1084.3693847656,870.3084716797,1004.5710449219,2777218,,800
2025-10-17 19:00:00.000,230240,1031.6419677734,340.8304748535,1314.4786376953,2777280,,1200
2025-10-17 19:00:00.000,230500,1058.544921875,689.0111083984,1288.1829833984,2777342,,1060
2025-10-17 18:00:00.000,230500,1059.6571044922,692.0169067383,1287.0677490234,2777343,,1060
2025-10-17 18:00:00.000,220030,1085.6979980469,149.8625335693,876.1859130859,2777095,,712
2025-10-17 18:00:00.000,220960,1086.3337402344,870.3573608398,1009.4600219727,2777219,,800
2025-10-17 18:00:00.000,220530,1088.9399414063,236.3486785889,892.8491821289,2777157,,800
2025-10-17 18:00:00.000,230240,1030.4219970703,342.0668334961,1313.4951171875,2777281,,1200
2025-10-17 17:00:00.000,220960,1086.3558349609,868.2607421875,1013.4552612305,2777220,,800
2025-10-17 17:00:00.000,220030,1085.5882568359,151.0968170166,878.6774902344,2777096,,712
2025-10-17 17:00:00.000,230240,1030.2092285156,341.7864685059,1312.7752685547,2777282,,1200
2025-10-17 17:00:00.000,230500,1059.8784179688,691.2378540039,1285.7947998047,2777344,,1060
2025-10-17 17:00:00.000,220530,1083.4525146484,256.609954834,887.666015625,2777158,,800
2025-10-17 16:00:00.000,230240,1030.2863769531,344.6727600098,1312.9157714844,2777283,,1200
2025-10-17 16:00:00.000,220030,1084.9661865234,150.1605682373,880.7858276367,2777097,,712
2025-10-17 16:00:00.000,220530,1084.2822265625,258.089050293,885.3623657227,2777159,,800
2025-10-17 16:00:00.000,220960,1085.8912353516,868.2620849609,1016.9473876953,2777221,,800
2025-10-17 16:00:00.000,230500,1060.0233154297,692.7033081055,1283.1062011719,2777345,,1060
